[framework][20:26:58,900-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Parsing configuration file [struts-default.xml] 
  [framework][20:26:59,103-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.util.reflection.ReflectionProvider) 
  [framework][20:26:59,104-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.util.reflection.ReflectionContextFactory) 
  [framework][20:26:59,105-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.util.PatternMatcher) 
  [framework][20:26:59,105-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (org.apache.struts2.util.ContentTypeMatcher) 
  [framework][20:26:59,105-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (org.apache.struts2.dispatcher.StaticContentLoader) 
  [framework][20:26:59,106-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.UnknownHandlerManager) 
  [framework][20:26:59,106-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (org.apache.struts2.views.util.UrlHelper) 
  [framework][20:26:59,107-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.util.TextParser) 
  [framework][20:26:59,107-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (org.apache.struts2.dispatcher.DispatcherErrorHandler) 
  [framework][20:26:59,108-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.security.ExcludedPatternsChecker) 
  [framework][20:26:59,108-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Choosing bean (struts) for (com.opensymphony.xwork2.security.AcceptedPatternsChecker) 
  [framework][20:26:59,142-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Initializing Struts-Spring integration... 
  [framework][20:26:59,143-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:Setting autowire strategy to name 
  [framework][20:26:59,144-com.opensymphony.xwork2.util.logging.commons.CommonsLogger.info(CommonsLogger.java:46)][INFO]:... initialized Struts-Spring integration successfully 
  [framework][20:27:23,656-cn.dazky.action.UserAction.login(UserAction.java:71)][INFO]:-----java登录成功	 
  [framework][20:28:43,673-cn.dazky.action.UserAction.login(UserAction.java:71)][INFO]:-----java登录成功	 
  
